cell_id,k_requested,op_set,formula,variant,seed,max_time,wall_clock_s,n_generations,total_evals,best_fitness,r2_train,r2_test,recovered_sympy,n_total_dags,n_unique_canonical,n_skipped,rf_search_trajectory
101,18,poly_trig,-cos(x_0*(x_0 + x_1)) - cos(sin(x_1) + sin(cos(x_1)) + cos(x_1**2*cos(x_1))),baseline,10142,60.0,58.76503385599972,1834,2468824,3.176359411644021e-05,0.9999017786387585,0.9998947164634658,1.17405345070267*x_1*cos(sin(0.788863458313421*x_1) + 1093.854268) - 0.999037981033325*cos(x_0*(x_0 + x_1)) + 0.270549475643635,2468824,2468824,0,1.0
101,18,poly_trig,-cos(x_0*(x_0 + x_1)) - cos(sin(x_1) + sin(cos(x_1)) + cos(x_1**2*cos(x_1))),baseline,10143,60.0,58.80137600099988,1870,2385379,0.0037617817685395684,0.9886129249101742,0.9887312064901598,cos(x_1 + 8229.906932) + 0.7931420803070068*cos(x_0*(x_0 + x_1) + 688.167961999774) - 0.509049,2385379,2385379,0,1.0
101,18,poly_trig,-cos(x_0*(x_0 + x_1)) - cos(sin(x_1) + sin(cos(x_1)) + cos(x_1**2*cos(x_1))),isalsr,10142,60.0,58.79228131199852,575,499621,0.006905491935934033,0.978646408353448,0.9714725947593563,x_1*(0.522839*x_0 + 0.522839*cos(x_1 + 2828.03108700365) + 0.518107829774754) - cos(x_0) + 0.192221,115775,64418,51357,1.797246111335341
101,18,poly_trig,-cos(x_0*(x_0 + x_1)) - cos(sin(x_1) + sin(cos(x_1)) + cos(x_1**2*cos(x_1))),isalsr,10143,60.0,58.62192573200082,590,506931,0.006507911009180567,0.9803002736737135,0.9792078789123758,0.83501*x_1 + 0.83501*sin(x_0*x_1 - 7949.143225) - 0.83501*cos(x_0) + 0.83501*cos(x_1) - 0.11318811053,118790,66097,52693,1.797207134968304
102,18,poly,x_0*x_2*(x_0 + x_1 + x_2) + x_0*(x_0*x_1 - x_2) - x_0 + x_2,baseline,10242,60.0,58.8390189640013,1562,2922185,0.05674077729225136,0.9447117783792028,0.9308716194949499,1.1026*x_0**2*(x_0*x_2**2 + x_1) - 0.955979000078514*x_0 - x_2*(0.955979000078514*x_0 - 1.306124) + 0.00394300000000003,2922185,2922185,0,1.0
102,18,poly,x_0*x_2*(x_0 + x_1 + x_2) + x_0*(x_0*x_1 - x_2) - x_0 + x_2,baseline,10243,60.0,8.854339792000246,300,462084,1.9136039927431575e-32,1.0,1.0,-x_0*(x_2 + (-1.0*x_0 - 1.0*x_2)*(x_1 + x_2)) - x_0 + x_2,462084,462084,0,1.0
102,18,poly,x_0*x_2*(x_0 + x_1 + x_2) + x_0*(x_0*x_1 - x_2) - x_0 + x_2,isalsr,10242,60.0,58.62627411199901,506,538399,0.03504292709620558,0.9658541667563473,0.9505172699948128,-x_0 + x_2*(0.002684*x_0*(613.884236*x_0*x_1*x_2 + 306.942118*x_0 + 306.942118*x_1 + 306.942118*x_2) - x_0) + x_2,101906,59439,42467,1.7144635676912465
102,18,poly,x_0*x_2*(x_0 + x_1 + x_2) + x_0*(x_0*x_1 - x_2) - x_0 + x_2,isalsr,10243,60.0,58.72385525899881,512,633925,0.1116918645217298,0.8960676668698564,0.81856328077573,0.60977*x_0*x_2**2 - 0.60977*x_0*(x_2 + 1.542715527721) + 0.60977*x_1 + 1.48944310487*x_2 - 0.04441625657,103112,59659,43453,1.7283561574950972
103,22,poly,-x_0**2*x_1*(x_0 + x_1) + x_0*x_1*(x_0*x_1 + x_0),baseline,10342,60.0,0.5102157689998421,30,27329,1.856778683625707e-33,1.0,1.0,-x_0*(x_0**2*x_1 - x_0*x_1),27329,27329,0,1.0
103,22,poly,-x_0**2*x_1*(x_0 + x_1) + x_0*x_1*(x_0*x_1 + x_0),baseline,10343,60.0,0.35170950000065204,20,18535,2.7168677137619645e-33,1.0,1.0,x_0*(-x_0**2*x_1 + x_0*x_1),18535,18535,0,1.0
103,22,poly,-x_0**2*x_1*(x_0 + x_1) + x_0*x_1*(x_0*x_1 + x_0),isalsr,10342,60.0,3.637006430999463,40,38063,3.489766579915274e-28,1.0,1.0,-1.0*x_0**2*x_1*(x_0 - 1.0),8240,4858,3382,1.696171263894607
103,22,poly,-x_0**2*x_1*(x_0 + x_1) + x_0*x_1*(x_0*x_1 + x_0),isalsr,10343,60.0,7.668667841999195,80,101347,2.239489552228004e-15,0.9999999999999849,0.9999999999999645,0,16280,9664,6616,1.6846026490066226
104,22,poly_trig,-x_0**2*sin(x_2)*sin(sin(x_0*x_1 - x_0 + x_1 + cos(x_0)))*cos(x_1 + cos(x_0)),baseline,10442,60.0,58.78381719999925,1876,2451224,0.0009697748729552494,0.9467592453428593,0.9012230864688042,sin(x_2*((x_0 - sin(x_0))*(4.644977*sin(x_1 - cos(x_0 - 3402.805872) + 925.608423) + 0.817445) - 0.002465)),2451224,2451224,0,1.0
104,22,poly_trig,-x_0**2*sin(x_2)*sin(sin(x_0*x_1 - x_0 + x_1 + cos(x_0)))*cos(x_1 + cos(x_0)),baseline,10443,60.0,58.80537606799953,1956,2390794,0.000738610510145378,0.9406175449629403,0.9480522590959478,(0.791547 - 0.767777*cos(x_0))*(sin(x_1) - cos(x_1))*(-1.532512774809*x_0 + x_1 + 0.796126593898302)*sin(x_2 - 207.351053),2390794,2390794,0,1.0
104,22,poly_trig,-x_0**2*sin(x_2)*sin(sin(x_0*x_1 - x_0 + x_1 + cos(x_0)))*cos(x_1 + cos(x_0)),isalsr,10442,60.0,58.7351803370002,612,506044,0.001570738921903287,0.9137662483287153,0.8805286701850996,x_2*(-1.606383*x_0*sin(cos(x_0) - 5530.270473)*cos(x_1 + cos(x_1)) - 0.1657585523625612),123212,69108,54104,1.7828905481275685
104,22,poly_trig,-x_0**2*sin(x_2)*sin(sin(x_0*x_1 - x_0 + x_1 + cos(x_0)))*cos(x_1 + cos(x_0)),isalsr,10443,60.0,58.8527085049991,588,562713,0.0010849364290319344,0.9127737991402582,0.9311989475553494,x_0**2*x_2*(-0.554122*x_0*(x_1 + (0.040155*x_0 - 0.059349371085)*(sin(x_0) - cos(x_0)) - 0.900228) - 0.189399),118388,66368,52020,1.783811475409836
105,26,poly_trig,sin(sin(sin(cos(x_0**2 + cos(sin(cos(x_0)))) - cos(sin(x_1*cos(x_1 + cos(x_0)))) + cos(cos(cos(x_1)))))),baseline,10542,60.0,58.8686668270002,1419,2635446,0.00019258160908512852,0.997512812455843,0.9959133290454295,-2.531509*(cos(x_0) - 1.213825)*(-0.11258*x_1*(x_1**2 + 0.62327)*cos(x_0) - 12.338596*sin(cos(x_0)) + 11.338596*cos(x_0)),2635446,2635446,0,1.0
105,26,poly_trig,sin(sin(sin(cos(x_0**2 + cos(sin(cos(x_0)))) - cos(sin(x_1*cos(x_1 + cos(x_0)))) + cos(cos(cos(x_1)))))),baseline,10543,60.0,58.96797630800029,1627,2665197,0.00033166478404392415,0.9960737631053252,0.9965899238932859,(-x_0**2 - 3.746099*cos(x_0)**2 + 5.52720709224013)*(-0.039628*x_1 + cos(sin(cos(x_0)**2 + 4296.668442)) - 1.10718927996) + 0.718796,2665197,2665197,0,1.0
105,26,poly_trig,sin(sin(sin(cos(x_0**2 + cos(sin(cos(x_0)))) - cos(sin(x_1*cos(x_1 + cos(x_0)))) + cos(cos(cos(x_1)))))),isalsr,10542,60.0,58.80585823799993,610,667745,0.0007274035908894736,0.9906055974948488,0.9931264049656645,-0.099865*x_1 - 0.099865*(cos(x_0) + 1.669611)*(-4*x_0**2 - sin(2*x_0**2) - 45.29406) - 11.534722873978763,122810,68369,54441,1.7962819406456143
105,26,poly_trig,sin(sin(sin(cos(x_0**2 + cos(sin(cos(x_0)))) - cos(sin(x_1*cos(x_1 + cos(x_0)))) + cos(cos(cos(x_1)))))),isalsr,10543,60.0,58.83116613600032,597,519498,0.0004011080389003817,0.9952516961195592,0.9958296327088398,-0.185575589288532*x_1 - (-0.101781994104385*x_1 + 2.83732168737113*sin(cos(x_0))*cos(x_0))*cos(x_0) + 5.17319049177819*sin(cos(x_0))*cos(x_0) - 1.434079,120197,67248,52949,1.787369141089698
108,30,poly_trig,sin(sin(sin(x_0)) + cos(x_1) - cos(x_1*x_2 + (x_1 + x_2)*(x_2 + cos(cos(x_1)))) + cos(sin(x_2))) + cos(x_1*cos(x_1)),baseline,10842,60.0,58.81607952400009,1959,2473609,0.0187540182830483,0.8206073791428662,0.7785629135511554,1.052153 - 0.824672906504148*cos(x_0 + x_1*x_2 + x_2 + cos(x_1*x_2 + x_2 - 12142.869512) - 12142.1610527985),2473609,2473609,0,1.0
108,30,poly_trig,sin(sin(sin(x_0)) + cos(x_1) - cos(x_1*x_2 + (x_1 + x_2)*(x_2 + cos(cos(x_1)))) + cos(sin(x_2))) + cos(x_1*cos(x_1)),baseline,10843,60.0,58.829729307999514,1838,2472093,0.021901231007838515,0.8019439722982882,0.6346522425038761,1.25349399447441101 - 0.635284*sin(x_0 - x_1**2 + cos(x_1 + x_2 + 2359.799908) + 7613.825498),2472093,2472093,0,1.0
108,30,poly_trig,sin(sin(sin(x_0)) + cos(x_1) - cos(x_1*x_2 + (x_1 + x_2)*(x_2 + cos(cos(x_1)))) + cos(sin(x_2))) + cos(x_1*cos(x_1)),isalsr,10842,60.0,58.79621476200009,579,472640,0.023465587197340466,0.7755386006481868,0.7190575420636474,cos((-x_0 + cos(cos(x_2*(sin(x_1) + cos(x_2)) + 0.652162439787825)))*cos(x_2*(sin(x_1) + cos(x_2)) + 0.652162439787825) + 0.120058992334956) + 0.848431,116579,65593,50986,1.7773085542664613
108,30,poly_trig,sin(sin(sin(x_0)) + cos(x_1) - cos(x_1*x_2 + (x_1 + x_2)*(x_2 + cos(cos(x_1)))) + cos(sin(x_2))) + cos(x_1*cos(x_1)),isalsr,10843,60.0,58.76442704100009,543,598012,0.02789087784605567,0.7477787219665222,0.6435323938094221,0.457528*x_0 - 0.457528*cos(cos(x_1) + cos(cos(x_0 + x_2) - 1352.183471)) + 1.543361,109343,61812,47531,1.768960719601372
