cell_id,k_requested,op_set,formula,variant,seed,max_time,protocol,train_bound,test_bound,wall_clock_s,n_generations,total_evals,best_fitness,r2_train,r2_test,solution_recovered,recovered_sympy,n_total_dags,n_unique_canonical,n_skipped,rf_search_trajectory
101,18,poly_trig,-cos(x_0*(x_0 + x_1)) - cos(sin(x_1) + sin(cos(x_1)) + cos(x_1**2*cos(x_1))),baseline,10142,60.0,extrap,0.7,1.2,58.84245054100029,1744,2628894,0.0006780034725014425,0.9955468994147926,0.838310577741582,False,0.289111*x_0*(x_0 + 0.993834*x_1 + 0.00688) + 0.176859028474*x_1 + sin(cos(x_1 + 9090.731792)) - 1.24740987135676,2628894,2628894,0,1.0
101,18,poly_trig,-cos(x_0*(x_0 + x_1)) - cos(sin(x_1) + sin(cos(x_1)) + cos(x_1**2*cos(x_1))),baseline,10143,60.0,extrap,0.7,1.2,58.81614854400141,1724,2590393,0.0005925385939172183,0.9960724040027524,0.8331795775802265,False,0.300782236529321*x_0*(x_0 - cos(x_1 + 4738.808217) + 0.250445) - 1.2298330203*sin(x_1 - 9521.481852) - 1.53353728958368304,2590393,2590393,0,1.0
101,18,poly_trig,-cos(x_0*(x_0 + x_1)) - cos(sin(x_1) + sin(cos(x_1)) + cos(x_1**2*cos(x_1))),isalsr,10142,60.0,extrap,0.7,1.2,58.72080888399978,473,433279,0.001295313981614867,0.9914924278657817,0.4367879687609548,False,1.127632*sin(-x_1 + sin(x_0**3*(x_1 + sin(x_0))*cos(x_1*(x_1 + sin(x_0))) - 3584.749948) + 7070.994143) - 1.34168059827061,95273,53301,41972,1.7874523930132642
101,18,poly_trig,-cos(x_0*(x_0 + x_1)) - cos(sin(x_1) + sin(cos(x_1)) + cos(x_1**2*cos(x_1))),isalsr,10143,60.0,extrap,0.7,1.2,58.662692376999985,482,395923,0.0019092760400846566,0.9873445122230725,0.681206217050107,False,(x_0 - sin(x_0) + 0.13582899996277)*(6.561939*x_1 + 6.561939*cos(x_1) - 5.586277099785) - 0.83593800663948059082,97082,54039,43043,1.7965173300764263
102,18,poly,x_0*x_2*(x_0 + x_1 + x_2) + x_0*(x_0*x_1 - x_2) - x_0 + x_2,baseline,10242,60.0,extrap,0.7,1.2,56.27984454699981,1630,2828252,6.658331022266628e-32,1.0,1.0,True,1.0*x_0*x_2*(x_1 + x_2) + x_0*(x_0*(x_1 + x_2) - x_2 - 1.0) + x_2,2828252,2828252,0,1.0
102,18,poly,x_0*x_2*(x_0 + x_1 + x_2) + x_0*(x_0*x_1 - x_2) - x_0 + x_2,baseline,10243,60.0,extrap,0.7,1.2,58.838808244001484,1517,2982323,0.002809671770585327,0.9929980213184865,0.9619570639625549,False,-1.015011*x_0 + 1.015011*x_1*(x_0*x_2 + 0.423017)**2 + 1.015011*x_2*(0.976364*x_0*(x_0 + x_2) - 0.976364*x_0 + 0.002100158964) + 1.015011*x_2 - 0.003965,2982323,2982323,0,1.0
102,18,poly,x_0*x_2*(x_0 + x_1 + x_2) + x_0*(x_0*x_1 - x_2) - x_0 + x_2,isalsr,10242,60.0,extrap,0.7,1.2,58.567655468999874,369,319241,0.0087695700189612,0.9779626566996941,0.23981021239106814,False,-x_0 - x_2*(-x_0**3*(2.4631818252*x_0 + 3.176814*x_1 + 2.4631818252*x_2) + x_0) + x_2,74369,43578,30791,1.7065721235485796
102,18,poly,x_0*x_2*(x_0 + x_1 + x_2) + x_0*(x_0*x_1 - x_2) - x_0 + x_2,isalsr,10243,60.0,extrap,0.7,1.2,58.79662685299991,313,307355,0.010545891921419645,0.9737185990248451,0.8465308167227293,False,x_0*(-0.159250260576*x_1 + x_2*(0.944575*x_0 + x_1 - 1.034662) + 0.158738) - x_0 + 0.159250260576*x_1 + x_2,63113,37236,25877,1.6949457514233537
103,22,poly,-x_0**2*x_1*(x_0 + x_1) + x_0*x_1*(x_0*x_1 + x_0),baseline,10342,60.0,extrap,0.7,1.2,0.5287876250004047,30,27209,3.0943352189570216e-34,1.0,1.0,True,-1.0*x_0*x_1*(x_0**2 - x_0),27209,27209,0,1.0
103,22,poly,-x_0**2*x_1*(x_0 + x_1) + x_0*x_1*(x_0*x_1 + x_0),baseline,10343,60.0,extrap,0.7,1.2,0.3345682380004291,20,16873,3.4997146308341985e-34,1.0,1.0,True,x_0*x_1*(-x_0**2 + x_0),16873,16873,0,1.0
