problem,seed,reduction_factor,redundancy_rate,max_internal_nodes_seen_isalsr,total_dags_explored_isalsr,unique_canonical_dags,r2_train_baseline,r2_train_isalsr,r2_test_baseline,r2_test_isalsr,nrmse_train_baseline,nrmse_train_isalsr,nrmse_test_baseline,nrmse_test_isalsr,delta_r2_train,delta_r2_test,delta_nrmse_train,delta_nrmse_test,model_complexity_baseline,model_complexity_isalsr,wall_clock_search_only_s_baseline,wall_clock_search_only_s_isalsr,overhead_time_s,canonicalization_runtime_s,solution_recovered_baseline,solution_recovered_isalsr
i.15.10,1,1.8179537164768875,0.44993099057661656,31.0,12440330.0,6843040.0,0.9999998499964945,0.9999999346219766,0.9999998445102543,0.9999999394839914,0.00038730286019579915,0.00025569126590570794,0.00039432188090062403,0.00024600001752715916,8.462548206633613e-08,9.497373709699275e-08,-0.00013161159429009122,-0.00014832186337346488,32.0,32.0,12989.59541170299,20283.293251135852,11643.621802899055,11643.621802899055,False,False
i.15.10,2,1.8148934179544356,0.4490034565627006,31.0,11638730.0,6412900.0,0.9999996103676839,0.9999999994625522,0.9999993412013191,0.9999999995219735,0.000624205347724836,2.3182919945975194e-05,0.000811664142920362,2.1863817103039277e-05,3.890948683249462e-07,6.583206544341635e-07,-0.0006010224277788608,-0.0007898003258173227,32.0,32.0,13023.100209231023,19787.963536991738,11404.433274806477,11404.433274806477,False,False
i.15.10,3,1.810251311008857,0.44759051192582877,28.0,3803090.0,2100863.0,0.9999994663175513,1.0,0.9999980435097306,1.0,0.0007305357271954117,3.006555936752303e-16,0.0013987459631300775,3.1582189545733947e-16,5.336824486779079e-07,1.9564902693502972e-06,-0.000730535727195111,-0.0013987459631297618,32.0,29.0,12815.22321132617,4491.629966457374,3146.19787237281,3146.19787237281,False,False
i.15.10,4,1.8186786780662243,0.4501502590533001,31.0,11057570.0,6080002.0,0.9999999447314113,0.9999999994522925,0.9999999567409988,0.9999999995270585,0.00023509272362108805,2.3403152839649082e-05,0.00020798798325047534,2.1747216655065782e-05,5.4720881159653345e-08,4.27860596952101e-08,-0.00021168957078143897,-0.00018624076659540955,31.0,32.0,13295.418022562284,19389.36131187901,10822.430693974253,10822.430693974253,False,False
i.15.10,5,1.8164626448585526,0.4494794578735365,31.0,12430310.0,6843141.0,0.9999987548175165,0.9999999985537457,0.9999982884160109,0.9999999981510211,0.0011158774500189996,3.802965148739225e-05,0.001308275196245588,4.2999754612120206e-05,1.2437362291173315e-06,1.7097350102357467e-06,-0.0010778477985316074,-0.0012652754416334678,32.0,32.0,14137.685258015059,20431.160878421273,11911.34487298876,11911.34487298876,False,False
i.15.10,6,1.8160054357846485,0.44934085532187507,31.0,12705860.0,6996598.0,0.9999980836956521,0.9999999982505783,0.9999979593049048,0.9999999981220119,0.0013843064501402934,4.182608854305103e-05,0.0014285289969718884,4.333576003501391e-05,1.9145549261523342e-06,2.0388171071417105e-06,-0.0013424803615972424,-0.0013851932369368745,32.0,32.0,12239.715307827573,20660.097449264955,12151.8079807139,12151.8079807139,False,False
i.15.10,7,1.8186790292965822,0.4501503652424177,31.0,12300050.0,6763178.0,0.9999999990756782,0.9999999999287751,0.9999999993622362,0.9999999999409003,3.04026620708571e-05,8.43948288198144e-06,2.5253987186841973e-05,7.687634370382026e-06,8.530969264342048e-10,5.786641166238837e-10,-2.1963179188875658e-05,-1.7566352816459947e-05,32.0,32.0,12442.939231525175,20493.88993059192,11621.857809942681,11621.857809942681,False,False
i.15.10,8,1.8136878339734892,0.448637201359417,28.0,1182860.0,652185.0,0.9999999921356927,1.0,0.999999993089792,1.0,8.868092961504938e-05,3.0963645411564906e-10,8.312766034934619e-05,1.9969331067471404e-09,7.86430731647414e-09,6.9102079613969636e-09,-8.868061997859526e-05,-8.312566341623944e-05,32.0,29.0,12404.090640077833,2413.552846185863,1035.3864982663654,1035.3864982663654,False,False
i.15.10,9,1.814909971907,0.44900848225035694,31.0,11794040.0,6498416.0,0.9999978780059153,0.9999999585296384,0.9999979620132464,0.9999999658996309,0.0014567065884096319,0.00020364273034381207,0.0014275807345412797,0.00018466285250605063,2.0805237230803186e-06,2.0038863844940025e-06,-0.0012530638580658198,-0.001242917882035229,31.0,32.0,12346.32686866168,19569.208068325184,10942.94858101476,10942.94858101476,False,False
i.15.10,11,1.8151479389211407,0.4490807175781141,31.0,12550550.0,6914340.0,0.9999998916356201,0.9999999973180432,0.9999996818229048,0.9999999932670213,0.0003291874541052037,5.178761182460147e-05,0.0005640718883036364,8.205472992705768e-05,1.0568242314601406e-07,3.114441164964177e-07,-0.0002773998422806022,-0.0004820171583765787,32.0,32.0,12898.65240582591,20752.099193081725,11223.21295978548,11223.21295978548,False,False
